module,pi,theta,karatsuba,length,cycles
nmh,116,3,1,9940,10027
nmh,116,3,1,10080,10199
nmh,116,3,1,10220,10309
nmh,116,3,1,10360,10480
nmh,116,3,1,10500,10586
nmh,116,3,1,10640,10761
nmh,116,3,1,10780,10866
nmh,116,3,1,10920,11040
nmh,116,3,1,11060,11143
nmh,116,3,1,11200,11322
nmh,116,3,1,11340,11427
nmh,116,3,1,11480,11600
nmh,116,3,1,11620,11706
nmh,116,3,1,11760,11882
nmh,116,3,1,11900,11986
nmh,116,3,1,12040,12163
nmh,116,3,1,12180,12269
nmh,116,3,1,12320,12445
nmh,116,3,1,12460,12549
nmh,116,3,1,12600,12725
nmh,116,3,1,12740,12830
nmh,116,3,1,12880,13003
nmh,116,3,1,13020,13106
nmh,116,3,1,13160,13285
nmh,116,3,1,13300,13389
nmh,116,3,1,13440,13561
nmh,116,3,1,13580,13667
nmh,116,3,1,13720,13842
nmh,116,3,1,13860,13952
nmh,116,3,1,14000,14127
nmh,116,3,1,14140,14227
nmh,116,3,1,14280,14404
nmh,116,3,1,14420,14510
nmh,116,3,1,14560,14685
nmh,116,3,1,14700,14788
nmh,116,3,1,14840,14965
nmh,116,3,1,14980,15070
nmh,116,3,1,15120,15244
nmh,116,3,1,15260,15352
nmh,116,3,1,15400,15527
nmh,116,3,1,15540,15633
nmh,116,3,1,15680,15808
nmh,116,3,1,15820,15909
nmh,116,3,1,15960,16087
nmh,226,5,0,140,397
nmh,226,5,0,280,872
nmh,226,5,0,420,1066
nmh,226,5,0,560,1500
nmh,226,5,0,700,1199
nmh,226,5,0,840,1654
nmh,226,5,0,980,1841
nmh,226,5,0,1120,2299
nmh,226,5,0,1260,2068
nmh,226,5,0,1400,2651
nmh,226,5,0,1540,2702
nmh,226,5,0,1680,3157
nmh,226,5,0,1820,2837
nmh,226,5,0,1960,3312
nmh,226,5,0,2100,3496
nmh,226,5,0,2240,3958
nmh,226,5,0,2380,3645
nmh,226,5,0,2520,4122
nmh,226,5,0,2660,4303
nmh,226,5,0,2800,4767
nmh,226,5,0,2940,4452
nmh,226,5,0,3080,4928
nmh,226,5,0,3220,5110
nmh,226,5,0,3360,5579
nmh,226,5,0,3500,5259
nmh,226,5,0,3640,5742
nmh,226,5,0,3780,5917
nmh,226,5,0,3920,6382
nmh,226,5,0,4060,6068
nmh,226,5,0,4200,6545
nmh,226,5,0,4340,6725
nmh,226,5,0,4480,7191
nmh,226,5,0,4620,6877
nmh,226,5,0,4760,7351
nmh,226,5,0,4900,7531
nmh,226,5,0,5040,7997
nmh,226,5,0,5180,7681
nmh,226,5,0,5320,8159
nmh,226,5,0,5460,8342
nmh,226,5,0,5600,8803
nmh,226,5,0,5740,8491
nmh,226,5,0,5880,8965
nmh,226,5,0,6020,9144
nmh,226,5,0,6160,9610
nmh,226,5,0,6300,9297
nmh,226,5,0,6440,9776
nmh,226,5,0,6580,9951
nmh,226,5,0,6720,10425
nmh,226,5,0,6860,10101
nmh,226,5,0,7000,10577
nmh,226,5,0,7140,10757
nmh,226,5,0,7280,11229
nmh,226,5,0,7420,10909
nmh,226,5,0,7560,11385
nmh,226,5,0,7700,11564
nmh,226,5,0,7840,12030
nmh,226,5,0,7980,11716
nmh,226,5,0,8120,12191
nmh,226,5,0,8260,12382
nmh,226,5,0,8400,12839
nmh,226,5,0,8540,12524
nmh,226,5,0,8680,12999
nmh,226,5,0,8820,13189
nmh,226,5,0,8960,13648
nmh,226,5,0,9100,13331
nmh,226,5,0,9240,13807
nmh,226,5,0,9380,13984
nmh,226,5,0,9520,14460
nmh,226,5,0,9660,14138
nmh,226,5,0,9800,14612
nmh,226,5,0,9940,14795
nmh,226,5,0,10080,15264
nmh,226,5,0,10220,14946
nmh,226,5,0,10360,15414
nmh,226,5,0,10500,15591
nmh,226,5,0,10640,16062
nmh,226,5,0,10780,15748
nmh,226,5,0,10920,16217
nmh,226,5,0,11060,16400
nmh,226,5,0,11200,16868
nmh,226,5,0,11340,16552
nmh,226,5,0,11480,17025
nmh,226,5,0,11620,17205
nmh,226,5,0,11760,17673
nmh,226,5,0,11900,17361
nmh,226,5,0,12040,17832
nmh,226,5,0,12180,18008
nmh,226,5,0,12320,18485
nmh,226,5,0,12460,18166
nmh,226,5,0,12600,18642
nmh,226,5,0,12740,18816
nmh,226,5,0,12880,19283
nmh,226,5,0,13020,18972
nmh,226,5,0,13160,19442
nmh,226,5,0,13300,19621
nmh,226,5,0,13440,20090
nmh,226,5,0,13580,19778
nmh,226,5,0,13720,20246
nmh,226,5,0,13860,20433
nmh,226,5,0,14000,20887
nmh,226,5,0,14140,20577
nmh,226,5,0,14280,21050
nmh,226,5,0,14420,21250
nmh,226,5,0,14560,21693
nmh,226,5,0,14700,21382
nmh,226,5,0,14840,21850
nmh,226,5,0,14980,22047
nmh,226,5,0,15120,22506
nmh,226,5,0,15260,22205
nmh,226,5,0,15400,22677
nmh,226,5,0,15540,22865
nmh,226,5,0,15680,23313
nmh,226,5,0,15820,23006
nmh,226,5,0,15960,23481
nmh,226,5,1,140,415
nmh,226,5,1,280,878
nmh,226,5,1,420,1056
nmh,226,5,1,560,1506
nmh,226,5,1,700,1289
