module,pi,theta,karatsuba,length,cycles
mmh,226,5,1,14700,37264
mmh,226,5,1,14812,37568
mmh,226,5,1,14924,37848
mmh,226,5,1,15036,38130
mmh,226,5,1,15148,38418
mmh,226,5,1,15260,38694
mmh,226,5,1,15372,38979
mmh,226,5,1,15484,39260
mmh,226,5,1,15596,39897
mmh,226,5,1,15708,39831
mmh,226,5,1,15820,40301
mmh,226,5,1,15932,40391
nmh,116,3,0,140,178
nmh,116,3,0,252,269
nmh,116,3,0,364,351
nmh,116,3,0,476,436
nmh,116,3,0,588,521
nmh,116,3,0,700,608
nmh,116,3,0,812,696
nmh,116,3,0,924,782
nmh,116,3,0,1036,872
nmh,116,3,0,1148,926
nmh,116,3,0,1260,1016
nmh,116,3,0,1372,1105
nmh,116,3,0,1484,1195
nmh,116,3,0,1596,1288
nmh,116,3,0,1708,1378
nmh,116,3,0,1820,1468
nmh,116,3,0,1932,1598
nmh,116,3,0,2044,1688
nmh,116,3,0,2156,1776
nmh,116,3,0,2268,1862
nmh,116,3,0,2380,1951
nmh,116,3,0,2492,2039
nmh,116,3,0,2604,2125
nmh,116,3,0,2716,2167
nmh,116,3,0,2828,2303
nmh,116,3,0,2940,2388
nmh,116,3,0,3052,2479
nmh,116,3,0,3164,2566
nmh,116,3,0,3276,2595
nmh,116,3,0,3388,2686
nmh,116,3,0,3500,2829
nmh,116,3,0,3612,2915
nmh,116,3,0,3724,3005
nmh,116,3,0,3836,3093
nmh,116,3,0,3948,3179
nmh,116,3,0,4060,3269
nmh,116,3,0,4172,3315
nmh,116,3,0,4284,3403
nmh,116,3,0,4396,3531
nmh,116,3,0,4508,3583
nmh,116,3,0,4620,3671
nmh,116,3,0,4732,3763
nmh,116,3,0,4844,3856
nmh,116,3,0,4956,3942
nmh,116,3,0,5068,4033
nmh,116,3,0,5180,4123
nmh,116,3,0,5292,4232
nmh,116,3,0,5404,4321
nmh,116,3,0,5516,4411
nmh,116,3,0,5628,4496
nmh,116,3,0,5740,4547
nmh,116,3,0,5852,4635
nmh,116,3,0,5964,4726
nmh,116,3,0,6076,4839
nmh,116,3,0,6188,4937
nmh,116,3,0,6300,5022
nmh,116,3,0,6412,5114
nmh,116,3,0,6524,5202
nmh,116,3,0,6636,5297
nmh,116,3,0,6748,5374
nmh,116,3,0,6860,5463
nmh,116,3,0,6972,5550
nmh,116,3,0,7084,5638
nmh,116,3,0,7196,5725
nmh,116,3,0,7308,5812
nmh,116,3,0,7420,5901
nmh,116,3,0,7532,5989
nmh,116,3,0,7644,6079
nmh,116,3,0,7756,6165
nmh,116,3,0,7868,6252
nmh,116,3,0,7980,6321
nmh,116,3,0,8092,6415
nmh,116,3,0,8204,6516
nmh,116,3,0,8316,6591
nmh,116,3,0,8428,6681
nmh,116,3,0,8540,6779
nmh,116,3,0,8652,6867
nmh,116,3,0,8764,6953
nmh,116,3,0,8876,7043
nmh,116,3,0,8988,7126
nmh,116,3,0,9100,7220
nmh,116,3,0,9212,7306
nmh,116,3,0,9324,7394
nmh,116,3,0,9436,7481
nmh,116,3,0,9548,7568
nmh,116,3,0,9660,7658
nmh,116,3,0,9772,7746
nmh,116,3,0,9884,7833
nmh,116,3,0,9996,7920
nmh,116,3,0,10108,8008
nmh,116,3,0,10220,8099
nmh,116,3,0,10332,8184
nmh,116,3,0,10444,8273
nmh,116,3,0,10556,8358
nmh,116,3,0,10668,8446
nmh,116,3,0,10780,8534
nmh,116,3,0,10892,8622
nmh,116,3,0,11004,8710
nmh,116,3,0,11116,8798
nmh,116,3,0,11228,8888
nmh,116,3,0,11340,8973
nmh,116,3,0,11452,9062
nmh,116,3,0,11564,9151
nmh,116,3,0,11676,9237
nmh,116,3,0,11788,9325
nmh,116,3,0,11900,9412
nmh,116,3,0,12012,9501
nmh,116,3,0,12124,9588
nmh,116,3,0,12236,9676
nmh,116,3,0,12348,9764
nmh,116,3,0,12460,9853
nmh,116,3,0,12572,9940
nmh,116,3,0,12684,10028
nmh,116,3,0,12796,10114
nmh,116,3,0,12908,10202
nmh,116,3,0,13020,10289
nmh,116,3,0,13132,10378
nmh,116,3,0,13244,10466
nmh,116,3,0,13356,10555
nmh,116,3,0,13468,10640
nmh,116,3,0,13580,10729
nmh,116,3,0,13692,10816
nmh,116,3,0,13804,10903
nmh,116,3,0,13916,10993
nmh,116,3,0,14028,11080
nmh,116,3,0,14140,11169
nmh,116,3,0,14252,11255
nmh,116,3,0,14364,11342
nmh,116,3,0,14476,11431
nmh,116,3,0,14588,11519
nmh,116,3,0,14700,11608
nmh,116,3,0,14812,11703
nmh,116,3,0,14924,11782
nmh,116,3,0,15036,11869
nmh,116,3,0,15148,11956
nmh,116,3,0,15260,12046
nmh,116,3,0,15372,12133
nmh,116,3,0,15484,12220
nmh,116,3,0,15596,12309
nmh,116,3,0,15708,12397
nmh,116,3,0,15820,12484
